Unnamed: 0,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
6301,000004812.jpg,1410,992,1391,788,1389,525,1360,528,1369,783,1401,978,1375,527,1603,648,1632.4033,644.3409,1798.5967,623.6591,1504,975,1552,821,1632,667,1574,629,1509,778,1458,922,5.02426114,"stretching, mild",conditioning exercise
3449,000015774.jpg,607,272,603,396,632,437,685,441,690,373,646,272,659,439,677,365,674.5447,396.9195,687.4553,229.0805,468,489,489,417,584,365,770,365,830,435,853,512,5.050047128,hang gliding,sports
6296,000030708.jpg,175,563,423,510,580,493,692,493,876,520,1155,572,636,493,551,308,540.5336,303.1646,390.4664,233.8354,154,466,313,415,466,319,636,297,566,458,446,466,4.959238651000001,"stretching, mild",conditioning exercise
4454,000033016.jpg,555,640,558,502,567,316,636,319,654,518,665,636,602,318,606,129,604.9717,104.3214,601.0283,9.6786,486,167,431,150,539,128,672,130,764,153,707,185,2.8417459419999997,resistance training,conditioning exercise
2205,000040154.jpg,598,535,596,452,607,320,663,319,657,431,663,519,635,320,597,150,589.3086,131.6011,553.6914,46.3989,508,229,577,224,574,155,620,144,594,237,501,242,2.770415131,"planting, potting, transplanting seedlings or plants, light effort",lawn and garden
1401,000059794.jpg,178,526,161,464,131,431,103,432,97,488,82,536,117,432,122,350,125.3291,327.9768,131.6709,286.0232,168,423,144,390,142,355,101,345,107,379,134,410,1.272905338,jai alai,sports
934,000065339.jpg,664,411,600,527,691,387,774,387,798,563,802,409,733,387,726,195,725.6519,186.4144,720.3481,55.5856,644,448,642,337,642,191,810,199,759,355,681,454,3.928089612,chopping wood,lawn and garden
1167,000111209.jpg,244,389,240,284,238,178,277,178,292,208,279,297,258,178,257,81,257.3292,66.0213,258.6708,4.9787,142,131,187,136,216,82,298,80,329,142,371,153,1.831720503,"rope skipping, general",sports
4876,000114595.jpg,397,298,378,248,367,291,304,295,259,301,258,395,336,293,312,188,310.5152,163.8186,306.4848,98.1814,360,224,430,224,358,182,266,193,234,260,283,222,1.972823358,"cleaning windows, washing windows, general",home activities
2076,000142834.jpg,306,703,365,502,394,311,479,319,477,523,465,691,437,315,471,89,468.6669,116.5305,478.3331,2.4695,554,290,417,257,385,109,556,68,639,155,741,203,3.4340972610000002,trimming shrubs or trees,lawn and garden
6732,000165249.jpg,827,367,758,355,725,301,722,301,680,354,674,418,724,301,690,234,687.5473,230.7882,650.4527,182.2118,677,276,706,277,689,239,691,228,737,243,732,288,1.8336062830000002,basketball,sports
6227,000267099.jpg,579,585,554,493,525,442,570,436,650,461,666,562,548,439,549,328,548.6566,311.0018,547.3434,245.9982,571,395,518,394,522,331,576,325,623,365,595,315,1.950507626,"cello, sitting",music playing
6705,000298013.jpg,666,579,634,472,629,322,684,318,676,472,694,598,657,320,663,166,655.3832,144.8951,622.6168,54.1049,562,269,621,259,614,162,712,170,756,251,798,275,2.895657438,"rope skipping, general",sports
